date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Mar%202020%2019:43:02%20GMT	http://emupedia.net/beta/emuos	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/beta/emuos.0.delayed	(from )
15:42:57	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Mar%202020%2019:43:02%20GMT	https://emupedia.net/beta/emuos	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/beta/emuos.1.delayed	(from )
15:42:58	10275/10275	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2017:59:48%20GMT	https://emupedia.net/beta/emuos/	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/beta/emuos/index.html	(from )
15:42:58	42/42	---M--	200	added ('OK')	text/plain	etag:%225e668420-2a%22	https://emupedia.net/robots.txt		(from )
15:42:58	9729/9729	---M--	200	added ('OK')	image/png	etag:%225e5445f1-2601%22	https://emupedia.net/emupedia-resources/logos/emupedia/emupedia-logo-256.png	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/logos/emupedia/emupedia-logo-256.png	(from https://emupedia.net/beta/emuos/)
15:42:58	2842/2842	---M-Z	200	added ('OK')	application/manifest+json	etag:W/%225e668415-b1a%22	https://emupedia.net/beta/emuos/manifest.webmanifest	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/beta/emuos/manifest.webmanifest	(from https://emupedia.net/beta/emuos/)
15:42:58	130066/130066	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%225e668414-1fc12%22	https://emupedia.net/beta/emuos/favicon.ico	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/beta/emuos/favicon.ico	(from https://emupedia.net/beta/emuos/)
15:42:59	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Mar%202020%2019:43:04%20GMT	https://emupedia.net/emupedia-resources/logos/emupedia-logo-58.png	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/logos/emupedia-logo-58.png	(from https://emupedia.net/beta/emuos/)
15:42:59	2125/2125	---M--	200	added ('OK')	image/png	etag:%225e5445f1-84d%22	https://emupedia.net/emupedia-resources/logos/emupedia/emupedia-logo-58.png	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/logos/emupedia/emupedia-logo-58.png	(from https://emupedia.net/beta/emuos/)
15:42:59	2604/2604	---M--	200	added ('OK')	image/png	etag:%225e5445f1-a2c%22	https://emupedia.net/emupedia-resources/logos/emupedia/emupedia-logo-72.png	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/logos/emupedia/emupedia-logo-72.png	(from https://emupedia.net/beta/emuos/)
15:42:59	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Mar%202020%2019:43:04%20GMT	https://emupedia.net/emupedia-resources/logos/emupedia/-logo-114.png	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/logos/emupedia/-logo-114.png	(from https://emupedia.net/beta/emuos/)
15:42:59	5641/5641	---M--	200	added ('OK')	image/png	etag:%225e5445f1-1609%22	https://emupedia.net/emupedia-resources/logos/emupedia/emupedia-logo-152.png	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/logos/emupedia/emupedia-logo-152.png	(from https://emupedia.net/beta/emuos/)
15:43:00	6318/6318	---M--	200	added ('OK')	image/png	etag:%225e5445f1-18ae%22	https://emupedia.net/emupedia-resources/logos/emupedia/emupedia-logo-168.png	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/logos/emupedia/emupedia-logo-168.png	(from https://emupedia.net/beta/emuos/)
